Item Code,Item Name,Spec,Priority
AAA2270730100,L07,KMC_LHD,1
AAA2270740100,L08,KMC_LHD,2
AAA2270750100,L09,KMC_LHD,3
AAA2270760100,M01,KMC_LHD,4
AAA2287560100,Q06,KMC_RHD,5
AAA2287570100,Q07,KMC_RHD,6
AAA2287580100,Q08,KMC_RHD,7
AAA2287590100,Q09,KMC_RHD,8
AAA2270680000,M04,HMC_LHD,9
AAA2270700000,M05,HMC_LHD,10
AAA2270710000,M06,HMC_LHD,11
AAA2270720000,M07,HMC_LHD,12
AAA2287520000,R04,HMC_RHD,13
AAA2287530000,R05,HMC_RHD,14
AAA2287540000,R06,HMC_RHD,15
AAA2287550000,R07,HMC_RHD,16
AAA2270730200,A14,KMC_LHD,17
AAA2270740200,A15,KMC_LHD,18
AAA2287560200,A18,KMC_RHD,19
AAA2415170000,X09,HMC_LHD,20
AAA2415200000,Y01,HMC_LHD,21
AAA2415210000,Y02,HMC_LHD,22
AAA2415220000,Y03,HMC_LHD,23
AAA2415230000,Y04,HMC_RHD,24
AAA2415250000,Y05,HMC_RHD,25
AAA2415280000,Y06,HMC_RHD,26
AAA2415330000,Y07,HMC_RHD,27
AAA2432550000,U05,KMC_LHD,28
AAA2432560000,U06,KMC_LHD,29
AAA2432570000,U07,KMC_LHD,30
AAA2432580000,U08,KMC_LHD,31
AAA2432600000,W07,KMC_LHD,32
AAA2432610000,W08,KMC_RHD,33
AAA2432620000,W09,KMC_RHD,34
AAA2432640000,X01,KMC_RHD,35
AAA2581150000,A61,KMC_LHD,36
AAA2581170000,A63,KMC_LHD,37
AAA2581180000,A65,KMC_RHD,38
AAA2581200000,A67,KMC_RHD,39
AAA2606750000,A68,HMC_RHD,40
AAA2606760000,A69,HMC_RHD,41
AAA2606780000,A70,HMC_RHD,42
AAA2606830000,A71,HMC_RHD,43
AAA2606840000,A72,HMC_RHD,44
AAA2606870000,A74,HMC_RHD,45